127.0.0.1, 2018-04-21 13:51:50, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.017618
127.0.0.1, 2018-04-21 13:51:50, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000610
127.0.0.1, 2018-04-21 13:51:52, GET, /admin/default/site, HTTP/1.1, 200, 0.028052
127.0.0.1, 2018-04-23 10:38:23, GET, /, HTTP/1.1, 303, 15.014130
127.0.0.1, 2018-04-23 10:48:37, GET, /, HTTP/1.1, 303, 15.010886
127.0.0.1, 2018-04-23 10:48:37, GET, /welcome/default/index, HTTP/1.1, 200, 0.475091
127.0.0.1, 2018-04-23 10:50:01, GET, /start/default/index, HTTP/1.1, 200, 0.262978
127.0.0.1, 2018-04-23 10:51:44, GET, /, HTTP/1.1, 303, 15.014807
127.0.0.1, 2018-04-23 10:51:44, GET, /welcome/default/index, HTTP/1.1, 200, 0.232489
127.0.0.1, 2018-04-23 10:51:54, GET, /start/default/index, HTTP/1.1, 200, 0.096493
127.0.0.1, 2018-04-23 10:51:57, GET, /start/default/user, HTTP/1.1, 303, 0.013810
127.0.0.1, 2018-04-23 10:51:57, GET, /start/default/user/login, HTTP/1.1, 200, 0.020054
127.0.0.1, 2018-04-23 10:53:08, GET, /start/default/user/login, HTTP/1.1, 200, 0.044076
127.0.0.1, 2018-04-23 10:53:08, GET, /start/default/index, HTTP/1.1, 200, 0.021175
127.0.0.1, 2018-04-23 10:53:09, GET, /start/default/index, HTTP/1.1, 200, 0.022295
127.0.0.1, 2018-04-23 15:13:08, GET, /, HTTP/1.1, 303, 0.004109
127.0.0.1, 2018-04-23 15:13:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.145358
127.0.0.1, 2018-04-23 15:13:19, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.001172
127.0.0.1, 2018-04-23 15:13:19, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000850
127.0.0.1, 2018-04-23 15:13:19, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.001423
127.0.0.1, 2018-04-23 15:13:19, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000305
127.0.0.1, 2018-04-23 15:13:19, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.003873
127.0.0.1, 2018-04-23 15:13:19, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000826
127.0.0.1, 2018-04-23 15:13:19, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000640
127.0.0.1, 2018-04-23 15:13:19, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.006835
127.0.0.1, 2018-04-23 15:13:19, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.006460
127.0.0.1, 2018-04-23 15:13:19, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000424
127.0.0.1, 2018-04-23 15:13:19, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.008310
127.0.0.1, 2018-04-23 15:13:19, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.002600
127.0.0.1, 2018-04-23 15:13:19, GET, /start/default/index, HTTP/1.1, 200, 0.119162
127.0.0.1, 2018-04-23 15:22:43, GET, /start/default/index, HTTP/1.1, 200, 0.043189
127.0.0.1, 2018-04-23 15:22:43, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000671
127.0.0.1, 2018-04-23 15:22:43, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000328
127.0.0.1, 2018-04-23 15:22:53, GET, /, HTTP/1.1, 303, 0.003938
127.0.0.1, 2018-04-23 15:22:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.186871
127.0.0.1, 2018-04-23 15:23:00, GET, /start/default/index, HTTP/1.1, 200, 0.109298
127.0.0.1, 2018-04-23 15:23:00, GET, /start/default/index, HTTP/1.1, 200, 0.023688
127.0.0.1, 2018-04-23 15:23:18, GET, /start/default/index, HTTP/1.1, 200, 0.022656
127.0.0.1, 2018-04-23 15:23:33, GET, /start/default/index, HTTP/1.1, 200, 0.037060
127.0.0.1, 2018-04-23 15:24:40, GET, /start/default/index, HTTP/1.1, 200, 0.022226
127.0.0.1, 2018-04-23 15:29:31, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000255
127.0.0.1, 2018-04-23 15:29:31, GET, /start/default/index, HTTP/1.1, 200, 0.045528
127.0.0.1, 2018-04-23 15:29:31, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000289
127.0.0.1, 2018-04-23 15:29:37, GET, /start/default/user, HTTP/1.1, 303, 0.018406
127.0.0.1, 2018-04-23 15:29:37, GET, /start/default/user/login, HTTP/1.1, 200, 0.033962
127.0.0.1, 2018-04-23 15:29:46, GET, /start/default/user/register, HTTP/1.1, 200, 0.021904
127.0.0.1, 2018-04-23 15:29:55, GET, /start/default/index, HTTP/1.1, 200, 0.017507
127.0.0.1, 2018-04-23 15:29:55, GET, /start/default/index, HTTP/1.1, 200, 0.048865
127.0.0.1, 2018-04-23 15:36:09, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000972
127.0.0.1, 2018-04-23 15:36:09, GET, /start/default/index, HTTP/1.1, 200, 0.049524
127.0.0.1, 2018-04-23 15:36:09, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000318
127.0.0.1, 2018-04-23 15:36:16, GET, /start/default/index, HTTP/1.1, 200, 0.021881
127.0.0.1, 2018-04-23 15:48:49, GET, /start/default/user, HTTP/1.1, 303, 0.044417
127.0.0.1, 2018-04-23 15:48:49, GET, /start/default/user/login, HTTP/1.1, 200, 0.050788
127.0.0.1, 2018-04-23 15:48:49, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000776
127.0.0.1, 2018-04-23 15:48:54, GET, /start/default/user/register, HTTP/1.1, 200, 0.027031
127.0.0.1, 2018-04-23 15:49:11, POST, /start/default/user/register, HTTP/1.1, 200, 0.061516
127.0.0.1, 2018-04-23 15:49:25, POST, /start/default/user/register, HTTP/1.1, 303, 0.038268
127.0.0.1, 2018-04-23 15:49:25, GET, /start/default/index, HTTP/1.1, 200, 0.031143
127.0.0.1, 2018-04-23 15:49:37, GET, /start/default/add, HTTP/1.1, 200, 0.021177
127.0.0.1, 2018-04-23 15:49:46, POST, /start/default/add, HTTP/1.1, 303, 0.017703
127.0.0.1, 2018-04-23 15:49:46, GET, /start/default/index, HTTP/1.1, 200, 0.033159
127.0.0.1, 2018-04-23 15:56:36, GET, /start/default/index, HTTP/1.1, 200, 0.061460
127.0.0.1, 2018-04-23 15:56:36, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000550
127.0.0.1, 2018-04-23 15:56:41, GET, /start/default/add, HTTP/1.1, 200, 0.021399
127.0.0.1, 2018-04-23 15:56:46, POST, /start/default/add, HTTP/1.1, 303, 0.022102
127.0.0.1, 2018-04-23 15:56:46, GET, /start/default/index, HTTP/1.1, 200, 0.031172
127.0.0.1, 2018-04-23 15:56:48, GET, /start/default/add, HTTP/1.1, 200, 0.020530
127.0.0.1, 2018-04-23 15:56:59, GET, /start/default/add, HTTP/1.1, 200, 0.027405
127.0.0.1, 2018-04-23 15:57:03, GET, /start/default/add, HTTP/1.1, 200, 0.030586
127.0.0.1, 2018-04-23 15:57:18, GET, /start/default/add, HTTP/1.1, 200, 0.028544
127.0.0.1, 2018-04-23 15:57:28, POST, /start/default/add, HTTP/1.1, 303, 0.025204
127.0.0.1, 2018-04-23 15:57:28, GET, /start/default/index, HTTP/1.1, 200, 0.023555
127.0.0.1, 2018-04-23 16:03:12, GET, /start/default/index, HTTP/1.1, 200, 0.028560
127.0.0.1, 2018-04-23 16:03:12, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000484
127.0.0.1, 2018-04-23 16:03:14, GET, /start/default/add, HTTP/1.1, 200, 0.021166
127.0.0.1, 2018-04-23 16:03:18, POST, /start/default/add, HTTP/1.1, 303, 0.020000
127.0.0.1, 2018-04-23 16:03:18, GET, /start/default/index, HTTP/1.1, 200, 0.023952
127.0.0.1, 2018-04-23 16:07:33, GET, /, HTTP/1.1, 303, 0.000493
127.0.0.1, 2018-04-23 16:07:33, GET, /welcome/default/index, HTTP/1.1, 200, 0.036660
127.0.0.1, 2018-04-23 16:07:39, GET, /start/default/index, HTTP/1.1, 200, 0.027276
127.0.0.1, 2018-04-23 16:07:40, GET, /start/default/index, HTTP/1.1, 200, 0.040696
127.0.0.1, 2018-04-23 16:07:44, GET, /start/default/user/logout, HTTP/1.1, 303, 0.019891
127.0.0.1, 2018-04-23 16:07:44, GET, /start/default/index, HTTP/1.1, 200, 0.044714
127.0.0.1, 2018-04-23 16:07:48, GET, /start/default/user, HTTP/1.1, 303, 0.012609
127.0.0.1, 2018-04-23 16:07:48, GET, /start/default/user/login, HTTP/1.1, 200, 0.019504
127.0.0.1, 2018-04-23 16:07:53, POST, /start/default/user/login, HTTP/1.1, 303, 0.031071
127.0.0.1, 2018-04-23 16:07:53, GET, /start/default/index, HTTP/1.1, 200, 0.031884
127.0.0.1, 2018-04-23 16:07:56, GET, /start/default/entry1, HTTP/1.1, 404, 0.016785
